00001 A00     0 Cholera                                                      Cholera
79055 T46992  0 Poisoning by oth agents aff the cardiovasc sys, self-harm    Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm
79056 T46992A 1 Poisn by oth agents aff the cardiovasc sys, self-harm, init  Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter
79057 T46992D 1 Poisn by oth agents aff the cardiovasc sys, self-harm, subs  Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, subsequent encounter
79058 T46992S 1 Poisn by oth agents aff the cardiovasc sys, slf-hrm, sequela Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, sequela
79059 T46993  0 Poisoning by oth agents aff the cardiovascular sys, assault  Poisoning by other agents primarily affecting the cardiovascular system, assault
79060 T46993A 1 Poisn by oth agents aff the cardiovasc sys, assault, init    Poisoning by other agents primarily affecting the cardiovascular system, assault, initial encounter
79061 T46993D 1 Poisn by oth agents aff the cardiovasc sys, assault, subs    Poisoning by other agents primarily affecting the cardiovascular system, assault, subsequent encounter
79062 T46993S 1 Poisn by oth agents aff the cardiovasc sys, assault, sequela Poisoning by other agents primarily affecting the cardiovascular system, assault, sequela
79063 T46994  0 Poisoning by oth agents aff the cardiovasc sys, undetermined Poisoning by other agents primarily affecting the cardiovascular system, undetermined
79064 T46994A 1 Poisoning by oth agents aff the cardiovasc sys, undet, init  Poisoning by other agents primarily affecting the cardiovascular system, undetermined, initial encounter
79065 T46994D 1 Poisoning by oth agents aff the cardiovasc sys, undet, subs  Poisoning by other agents primarily affecting the cardiovascular system, undetermined, subsequent encounter
79066 T46994S 1 Poisn by oth agents aff the cardiovasc sys, undet, sequela   Poisoning by other agents primarily affecting the cardiovascular system, undetermined, sequela
79067 T46995  0 Adverse effect of agents aff the cardiovascular sys          Adverse effect of other agents primarily affecting the cardiovascular system
79068 T46995A 1 Adverse effect of agents aff the cardiovascular sys, init    Adverse effect of other agents primarily affecting the cardiovascular system, initial encounter
79069 T46995D 1 Adverse effect of agents aff the cardiovascular sys, subs    Adverse effect of other agents primarily affecting the cardiovascular system, subsequent encounter
79070 T46995S 1 Adverse effect of agents aff the cardiovascular sys, sequela Adverse effect of other agents primarily affecting the cardiovascular system, sequela
79071 T46996  0 Underdosing of agents aff the cardiovascular sys             Underdosing of other agents primarily affecting the cardiovascular system
79072 T46996A 1 Underdosing of agents aff the cardiovascular sys, init       Underdosing of other agents primarily affecting the cardiovascular system, initial encounter
79073 T46996D 1 Underdosing of agents aff the cardiovascular sys, subs       Underdosing of other agents primarily affecting the cardiovascular system, subsequent encounter
79074 T46996S 1 Underdosing of agents aff the cardiovascular sys, sequela    Underdosing of other agents primarily affecting the cardiovascular system, sequela
79075 T47     0 Agents primarily affecting the gastrointestinal system       Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system
79076 T470    0 Histamine H2-receptor blockers                               Poisoning by, adverse effect of and underdosing of histamine H2-receptor blockers
79077 T470X   0 Histamine H2-receptor blockers                               Poisoning by, adverse effect of and underdosing of histamine H2-receptor blockers
79078 T470X1  0 Poisoning by histamine H2-receptor blockers, accidental      Poisoning by histamine H2-receptor blockers, accidental (unintentional)
79079 T470X1A 1 Poisoning by histamine H2-receptor blockers, acc, init       Poisoning by histamine H2-receptor blockers, accidental (unintentional), initial encounter
79080 T470X1D 1 Poisoning by histamine H2-receptor blockers, acc, subs       Poisoning by histamine H2-receptor blockers, accidental (unintentional), subsequent encounter
79081 T470X1S 1 Poisoning by histamine H2-receptor blockers, acc, sequela    Poisoning by histamine H2-receptor blockers, accidental (unintentional), sequela
79082 T470X2  0 Poisoning by histamine H2-receptor blockers, self-harm       Poisoning by histamine H2-receptor blockers, intentional self-harm
79083 T470X2A 1 Poisoning by histamine H2-receptor blockers, self-harm, init Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter
79084 T470X2D 1 Poisoning by histamine H2-receptor blockers, self-harm, subs Poisoning by histamine H2-receptor blockers, intentional self-harm, subsequent encounter
79085 T470X2S 1 Poisn by histamine H2-receptor blockers, self-harm, sequela  Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela
79086 T470X3  0 Poisoning by histamine H2-receptor blockers, assault         Poisoning by histamine H2-receptor blockers, assault
79087 T470X3A 1 Poisoning by histamine H2-receptor blockers, assault, init   Poisoning by histamine H2-receptor blockers, assault, initial encounter
79088 T470X3D 1 Poisoning by histamine H2-receptor blockers, assault, subs   Poisoning by histamine H2-receptor blockers, assault, subsequent encounter
79089 T470X3S 1 Poisn by histamine H2-receptor blockers, assault, sequela    Poisoning by histamine H2-receptor blockers, assault, sequela
79090 T470X4  0 Poisoning by histamine H2-receptor blockers, undetermined    Poisoning by histamine H2-receptor blockers, undetermined
79091 T470X4A 1 Poisoning by histamine H2-receptor blockers, undet, init     Poisoning by histamine H2-receptor blockers, undetermined, initial encounter
79092 T470X4D 1 Poisoning by histamine H2-receptor blockers, undet, subs     Poisoning by histamine H2-receptor blockers, undetermined, subsequent encounter
79093 T470X4S 1 Poisoning by histamine H2-receptor blockers, undet, sequela  Poisoning by histamine H2-receptor blockers, undetermined, sequela
79094 T470X5  0 Adverse effect of histamine H2-receptor blockers             Adverse effect of histamine H2-receptor blockers
79095 T470X5A 1 Adverse effect of histamine H2-receptor blockers, init       Adverse effect of histamine H2-receptor blockers, initial encounter
79096 T470X5D 1 Adverse effect of histamine H2-receptor blockers, subs       Adverse effect of histamine H2-receptor blockers, subsequent encounter
79097 T470X5S 1 Adverse effect of histamine H2-receptor blockers, sequela    Adverse effect of histamine H2-receptor blockers, sequela
79098 T470X6  0 Underdosing of histamine H2-receptor blockers                Underdosing of histamine H2-receptor blockers
79099 T470X6A 1 Underdosing of histamine H2-receptor blockers, init encntr   Underdosing of histamine H2-receptor blockers, initial encounter
79100 T470X6D 1 Underdosing of histamine H2-receptor blockers, subs encntr   Underdosing of histamine H2-receptor blockers, subsequent encounter
79101 T470X6S 1 Underdosing of histamine H2-receptor blockers, sequela       Underdosing of histamine H2-receptor blockers, sequela
79102 T471    0 Antacids and anti-gastric-secretion drugs                    Poisoning by, adverse effect of and underdosing of other antacids and anti-gastric-secretion drugs
79103 T471X   0 Antacids and anti-gastric-secretion drugs                    Poisoning by, adverse effect of and underdosing of other antacids and anti-gastric-secretion drugs
79104 T471X1  0 Poisoning by oth antacids and anti-gstrc-sec drugs, acc      Poisoning by other antacids and anti-gastric-secretion drugs, accidental (unintentional)
79105 T471X1A 1 Poisn by oth antacids and anti-gstrc-sec drugs, acc, init    Poisoning by other antacids and anti-gastric-secretion drugs, accidental (unintentional), initial encounter
79106 T471X1D 1 Poisn by oth antacids and anti-gstrc-sec drugs, acc, subs    Poisoning by other antacids and anti-gastric-secretion drugs, accidental (unintentional), subsequent encounter
79107 T471X1S 1 Poisn by oth antacids and anti-gstrc-sec drugs, acc, sqla    Poisoning by other antacids and anti-gastric-secretion drugs, accidental (unintentional), sequela
79108 T471X2  0 Poisn by oth antacids and anti-gstrc-sec drugs, self-harm    Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm
79109 T471X2A 1 Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, init  Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter
79110 T471X2D 1 Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, subs  Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, subsequent encounter
79111 T471X2S 1 Poisn by oth antacids & anti-gstrc-sec drugs, slf-hrm, sqla  Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela
79112 T471X3  0 Poisoning by oth antacids and anti-gstrc-sec drugs, assault  Poisoning by other antacids and anti-gastric-secretion drugs, assault
79113 T471X3A 1 Poisn by oth antacids and anti-gstrc-sec drugs, asslt, init  Poisoning by other antacids and anti-gastric-secretion drugs, assault, initial encounter
79114 T471X3D 1 Poisn by oth antacids and anti-gstrc-sec drugs, asslt, subs  Poisoning by other antacids and anti-gastric-secretion drugs, assault, subsequent encounter
79115 T471X3S 1 Poisn by oth antacids and anti-gstrc-sec drugs, asslt, sqla  Poisoning by other antacids and anti-gastric-secretion drugs, assault, sequela
79116 T471X4  0 Poisoning by oth antacids and anti-gstrc-sec drugs, undet    Poisoning by other antacids and anti-gastric-secretion drugs, undetermined
79117 T471X4A 1 Poisn by oth antacids and anti-gstrc-sec drugs, undet, init  Poisoning by other antacids and anti-gastric-secretion drugs, undetermined, initial encounter
79118 T471X4D 1 Poisn by oth antacids and anti-gstrc-sec drugs, undet, subs  Poisoning by other antacids and anti-gastric-secretion drugs, undetermined, subsequent encounter
79119 T471X4S 1 Poisn by oth antacids and anti-gstrc-sec drugs, undet, sqla  Poisoning by other antacids and anti-gastric-secretion drugs, undetermined, sequela
79120 T471X5  0 Adverse effect of antacids and anti-gastric-secretion drugs  Adverse effect of other antacids and anti-gastric-secretion drugs
79121 T471X5A 1 Adverse effect of antacids and anti-gstrc-sec drugs, init    Adverse effect of other antacids and anti-gastric-secretion drugs, initial encounter
79122 T471X5D 1 Adverse effect of antacids and anti-gstrc-sec drugs, subs    Adverse effect of other antacids and anti-gastric-secretion drugs, subsequent encounter
79123 T471X5S 1 Adverse effect of antacids and anti-gstrc-sec drugs, sequela Adverse effect of other antacids and anti-gastric-secretion drugs, sequela
79124 T471X6  0 Underdosing of oth antacids and anti-gastric-secretion drugs Underdosing of other antacids and anti-gastric-secretion drugs
79125 T471X6A 1 Underdosing of antacids and anti-gstrc-sec drugs, init       Underdosing of other antacids and anti-gastric-secretion drugs, initial encounter
79126 T471X6D 1 Underdosing of antacids and anti-gstrc-sec drugs, subs       Underdosing of other antacids and anti-gastric-secretion drugs, subsequent encounter
79127 T471X6S 1 Underdosing of antacids and anti-gstrc-sec drugs, sequela    Underdosing of other antacids and anti-gastric-secretion drugs, sequela
79128 T472    0 Stimulant laxatives                                          Poisoning by, adverse effect of and underdosing of stimulant laxatives
79129 T472X   0 Stimulant laxatives                                          Poisoning by, adverse effect of and underdosing of stimulant laxatives
79130 T472X1  0 Poisoning by stimulant laxatives, accidental (unintentional) Poisoning by stimulant laxatives, accidental (unintentional)
79131 T472X1A 1 Poisoning by stimulant laxatives, accidental, init           Poisoning by stimulant laxatives, accidental (unintentional), initial encounter
79132 T472X1D 1 Poisoning by stimulant laxatives, accidental, subs           Poisoning by stimulant laxatives, accidental (unintentional), subsequent encounter
79133 T472X1S 1 Poisoning by stimulant laxatives, accidental, sequela        Poisoning by stimulant laxatives, accidental (unintentional), sequela
79134 T472X2  0 Poisoning by stimulant laxatives, intentional self-harm      Poisoning by stimulant laxatives, intentional self-harm
79135 T472X2A 1 Poisoning by stimulant laxatives, self-harm, init            Poisoning by stimulant laxatives, intentional self-harm, initial encounter
79136 T472X2D 1 Poisoning by stimulant laxatives, self-harm, subs            Poisoning by stimulant laxatives, intentional self-harm, subsequent encounter
79137 T472X2S 1 Poisoning by stimulant laxatives, self-harm, sequela         Poisoning by stimulant laxatives, intentional self-harm, sequela
79138 T472X3  0 Poisoning by stimulant laxatives, assault                    Poisoning by stimulant laxatives, assault
79139 T472X3A 1 Poisoning by stimulant laxatives, assault, initial encounter Poisoning by stimulant laxatives, assault, initial encounter
79140 T472X3D 1 Poisoning by stimulant laxatives, assault, subs encntr       Poisoning by stimulant laxatives, assault, subsequent encounter
79141 T472X3S 1 Poisoning by stimulant laxatives, assault, sequela           Poisoning by stimulant laxatives, assault, sequela
79142 T472X4  0 Poisoning by stimulant laxatives, undetermined               Poisoning by stimulant laxatives, undetermined
79143 T472X4A 1 Poisoning by stimulant laxatives, undetermined, init encntr  Poisoning by stimulant laxatives, undetermined, initial encounter
79144 T472X4D 1 Poisoning by stimulant laxatives, undetermined, subs encntr  Poisoning by stimulant laxatives, undetermined, subsequent encounter
79145 T472X4S 1 Poisoning by stimulant laxatives, undetermined, sequela      Poisoning by stimulant laxatives, undetermined, sequela
79146 T472X5  0 Adverse effect of stimulant laxatives                        Adverse effect of stimulant laxatives
79147 T472X5A 1 Adverse effect of stimulant laxatives, initial encounter     Adverse effect of stimulant laxatives, initial encounter
79148 T472X5D 1 Adverse effect of stimulant laxatives, subsequent encounter  Adverse effect of stimulant laxatives, subsequent encounter
79149 T472X5S 1 Adverse effect of stimulant laxatives, sequela               Adverse effect of stimulant laxatives, sequela
79150 T472X6  0 Underdosing of stimulant laxatives                           Underdosing of stimulant laxatives
79151 T472X6A 1 Underdosing of stimulant laxatives, initial encounter        Underdosing of stimulant laxatives, initial encounter
79152 T472X6D 1 Underdosing of stimulant laxatives, subsequent encounter     Underdosing of stimulant laxatives, subsequent encounter
79153 T472X6S 1 Underdosing of stimulant laxatives, sequela                  Underdosing of stimulant laxatives, sequela
79154 T473    0 Saline and osmotic laxatives                                 Poisoning by, adverse effect of and underdosing of saline and osmotic laxatives
79155 T473X   0 Poisoning by and adverse effect of saline and osmotic laxtv  Poisoning by and adverse effect of saline and osmotic laxatives
79156 T473X1  0 Poisoning by saline and osmotic laxatives, accidental        Poisoning by saline and osmotic laxatives, accidental (unintentional)
79157 T473X1A 1 Poisoning by saline and osmotic laxatives, accidental, init  Poisoning by saline and osmotic laxatives, accidental (unintentional), initial encounter
79158 T473X1D 1 Poisoning by saline and osmotic laxatives, accidental, subs  Poisoning by saline and osmotic laxatives, accidental (unintentional), subsequent encounter
79159 T473X1S 1 Poisoning by saline and osmotic laxatives, acc, sequela      Poisoning by saline and osmotic laxatives, accidental (unintentional), sequela
79160 T473X2  0 Poisoning by saline and osmotic laxatives, self-harm         Poisoning by saline and osmotic laxatives, intentional self-harm
79161 T473X2A 1 Poisoning by saline and osmotic laxatives, self-harm, init   Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter
79162 T473X2D 1 Poisoning by saline and osmotic laxatives, self-harm, subs   Poisoning by saline and osmotic laxatives, intentional self-harm, subsequent encounter
79163 T473X2S 1 Poisoning by saline and osmotic laxtv, self-harm, sequela    Poisoning by saline and osmotic laxatives, intentional self-harm, sequela
79164 T473X3  0 Poisoning by saline and osmotic laxatives, assault           Poisoning by saline and osmotic laxatives, assault
79165 T473X3A 1 Poisoning by saline and osmotic laxatives, assault, init     Poisoning by saline and osmotic laxatives, assault, initial encounter
79166 T473X3D 1 Poisoning by saline and osmotic laxatives, assault, subs     Poisoning by saline and osmotic laxatives, assault, subsequent encounter
79167 T473X3S 1 Poisoning by saline and osmotic laxatives, assault, sequela  Poisoning by saline and osmotic laxatives, assault, sequela
79168 T473X4  0 Poisoning by saline and osmotic laxatives, undetermined      Poisoning by saline and osmotic laxatives, undetermined
79169 T473X4A 1 Poisoning by saline and osmotic laxatives, undet, init       Poisoning by saline and osmotic laxatives, undetermined, initial encounter
79170 T473X4D 1 Poisoning by saline and osmotic laxatives, undet, subs       Poisoning by saline and osmotic laxatives, undetermined, subsequent encounter
79171 T473X4S 1 Poisoning by saline and osmotic laxatives, undet, sequela    Poisoning by saline and osmotic laxatives, undetermined, sequela
79172 T473X5  0 Adverse effect of saline and osmotic laxatives               Adverse effect of saline and osmotic laxatives
79173 T473X5A 1 Adverse effect of saline and osmotic laxatives, init encntr  Adverse effect of saline and osmotic laxatives, initial encounter
79174 T473X5D 1 Adverse effect of saline and osmotic laxatives, subs encntr  Adverse effect of saline and osmotic laxatives, subsequent encounter
79175 T473X5S 1 Adverse effect of saline and osmotic laxatives, sequela      Adverse effect of saline and osmotic laxatives, sequela
79176 T473X6  0 Underdosing of saline and osmotic laxatives                  Underdosing of saline and osmotic laxatives
79177 T473X6A 1 Underdosing of saline and osmotic laxatives, init encntr     Underdosing of saline and osmotic laxatives, initial encounter
79178 T473X6D 1 Underdosing of saline and osmotic laxatives, subs encntr     Underdosing of saline and osmotic laxatives, subsequent encounter
79179 T473X6S 1 Underdosing of saline and osmotic laxatives, sequela         Underdosing of saline and osmotic laxatives, sequela
79180 T474    0 Poisoning by, adverse effect of and underdosing of laxatives Poisoning by, adverse effect of and underdosing of other laxatives
79181 T474X   0 Poisoning by, adverse effect of and underdosing of laxatives Poisoning by, adverse effect of and underdosing of other laxatives
79182 T474X1  0 Poisoning by other laxatives, accidental (unintentional)     Poisoning by other laxatives, accidental (unintentional)
79183 T474X1A 1 Poisoning by oth laxatives, accidental (unintentional), init Poisoning by other laxatives, accidental (unintentional), initial encounter
79184 T474X1D 1 Poisoning by oth laxatives, accidental (unintentional), subs Poisoning by other laxatives, accidental (unintentional), subsequent encounter
79185 T474X1S 1 Poisoning by oth laxatives, accidental, sequela              Poisoning by other laxatives, accidental (unintentional), sequela
79186 T474X2  0 Poisoning by other laxatives, intentional self-harm          Poisoning by other laxatives, intentional self-harm
79187 T474X2A 1 Poisoning by oth laxatives, intentional self-harm, init      Poisoning by other laxatives, intentional self-harm, initial encounter
79188 T474X2D 1 Poisoning by oth laxatives, intentional self-harm, subs      Poisoning by other laxatives, intentional self-harm, subsequent encounter
79189 T474X2S 1 Poisoning by other laxatives, intentional self-harm, sequela Poisoning by other laxatives, intentional self-harm, sequela
79190 T474X3  0 Poisoning by other laxatives, assault                        Poisoning by other laxatives, assault
79191 T474X3A 1 Poisoning by other laxatives, assault, initial encounter     Poisoning by other laxatives, assault, initial encounter
79192 T474X3D 1 Poisoning by other laxatives, assault, subsequent encounter  Poisoning by other laxatives, assault, subsequent encounter
79193 T474X3S 1 Poisoning by other laxatives, assault, sequela               Poisoning by other laxatives, assault, sequela
79194 T474X4  0 Poisoning by other laxatives, undetermined                   Poisoning by other laxatives, undetermined
79195 T474X4A 1 Poisoning by other laxatives, undetermined, init encntr      Poisoning by other laxatives, undetermined, initial encounter
79196 T474X4D 1 Poisoning by other laxatives, undetermined, subs encntr      Poisoning by other laxatives, undetermined, subsequent encounter
79197 T474X4S 1 Poisoning by other laxatives, undetermined, sequela          Poisoning by other laxatives, undetermined, sequela
79198 T474X5  0 Adverse effect of other laxatives                            Adverse effect of other laxatives
79199 T474X5A 1 Adverse effect of other laxatives, initial encounter         Adverse effect of other laxatives, initial encounter
79200 T474X5D 1 Adverse effect of other laxatives, subsequent encounter      Adverse effect of other laxatives, subsequent encounter
79201 T474X5S 1 Adverse effect of other laxatives, sequela                   Adverse effect of other laxatives, sequela
79202 T474X6  0 Underdosing of other laxatives                               Underdosing of other laxatives
79203 T474X6A 1 Underdosing of other laxatives, initial encounter            Underdosing of other laxatives, initial encounter
79204 T474X6D 1 Underdosing of other laxatives, subsequent encounter         Underdosing of other laxatives, subsequent encounter
79205 T474X6S 1 Underdosing of other laxatives, sequela                      Underdosing of other laxatives, sequela
79206 T475    0 Digestants                                                   Poisoning by, adverse effect of and underdosing of digestants
79207 T475X   0 Digestants                                                   Poisoning by, adverse effect of and underdosing of digestants
79208 T475X1  0 Poisoning by digestants, accidental (unintentional)          Poisoning by digestants, accidental (unintentional)
79209 T475X1A 1 Poisoning by digestants, accidental (unintentional), init    Poisoning by digestants, accidental (unintentional), initial encounter
79210 T475X1D 1 Poisoning by digestants, accidental (unintentional), subs    Poisoning by digestants, accidental (unintentional), subsequent encounter
79211 T475X1S 1 Poisoning by digestants, accidental (unintentional), sequela Poisoning by digestants, accidental (unintentional), sequela
79212 T475X2  0 Poisoning by digestants, intentional self-harm               Poisoning by digestants, intentional self-harm
79213 T475X2A 1 Poisoning by digestants, intentional self-harm, init encntr  Poisoning by digestants, intentional self-harm, initial encounter
79214 T475X2D 1 Poisoning by digestants, intentional self-harm, subs encntr  Poisoning by digestants, intentional self-harm, subsequent encounter
79215 T475X2S 1 Poisoning by digestants, intentional self-harm, sequela      Poisoning by digestants, intentional self-harm, sequela
79216 T475X3  0 Poisoning by digestants, assault                             Poisoning by digestants, assault
79217 T475X3A 1 Poisoning by digestants, assault, initial encounter          Poisoning by digestants, assault, initial encounter
79218 T475X3D 1 Poisoning by digestants, assault, subsequent encounter       Poisoning by digestants, assault, subsequent encounter
79219 T475X3S 1 Poisoning by digestants, assault, sequela                    Poisoning by digestants, assault, sequela
79220 T475X4  0 Poisoning by digestants, undetermined                        Poisoning by digestants, undetermined
79221 T475X4A 1 Poisoning by digestants, undetermined, initial encounter     Poisoning by digestants, undetermined, initial encounter
79222 T475X4D 1 Poisoning by digestants, undetermined, subsequent encounter  Poisoning by digestants, undetermined, subsequent encounter
79223 T475X4S 1 Poisoning by digestants, undetermined, sequela               Poisoning by digestants, undetermined, sequela
79224 T475X5  0 Adverse effect of digestants                                 Adverse effect of digestants
79225 T475X5A 1 Adverse effect of digestants, initial encounter              Adverse effect of digestants, initial encounter
79226 T475X5D 1 Adverse effect of digestants, subsequent encounter           Adverse effect of digestants, subsequent encounter
79227 T475X5S 1 Adverse effect of digestants, sequela                        Adverse effect of digestants, sequela
79228 T475X6  0 Underdosing of digestants                                    Underdosing of digestants
79229 T475X6A 1 Underdosing of digestants, initial encounter                 Underdosing of digestants, initial encounter
79230 T475X6D 1 Underdosing of digestants, subsequent encounter              Underdosing of digestants, subsequent encounter
79231 T475X6S 1 Underdosing of digestants, sequela                           Underdosing of digestants, sequela
79232 T476    0 Antidiarrheal drugs                                          Poisoning by, adverse effect of and underdosing of antidiarrheal drugs
79233 T476X   0 Antidiarrheal drugs                                          Poisoning by, adverse effect of and underdosing of antidiarrheal drugs
79234 T476X1  0 Poisoning by antidiarrheal drugs, accidental (unintentional) Poisoning by antidiarrheal drugs, accidental (unintentional)
79235 T476X1A 1 Poisoning by antidiarrheal drugs, accidental, init           Poisoning by antidiarrheal drugs, accidental (unintentional), initial encounter
79236 T476X1D 1 Poisoning by antidiarrheal drugs, accidental, subs           Poisoning by antidiarrheal drugs, accidental (unintentional), subsequent encounter
79237 T476X1S 1 Poisoning by antidiarrheal drugs, accidental, sequela        Poisoning by antidiarrheal drugs, accidental (unintentional), sequela
79238 T476X2  0 Poisoning by antidiarrheal drugs, intentional self-harm      Poisoning by antidiarrheal drugs, intentional self-harm
79239 T476X2A 1 Poisoning by antidiarrheal drugs, self-harm, init            Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter
79240 T476X2D 1 Poisoning by antidiarrheal drugs, self-harm, subs            Poisoning by antidiarrheal drugs, intentional self-harm, subsequent encounter
79241 T476X2S 1 Poisoning by antidiarrheal drugs, self-harm, sequela         Poisoning by antidiarrheal drugs, intentional self-harm, sequela
79242 T476X3  0 Poisoning by antidiarrheal drugs, assault                    Poisoning by antidiarrheal drugs, assault
79243 T476X3A 1 Poisoning by antidiarrheal drugs, assault, initial encounter Poisoning by antidiarrheal drugs, assault, initial encounter
79244 T476X3D 1 Poisoning by antidiarrheal drugs, assault, subs encntr       Poisoning by antidiarrheal drugs, assault, subsequent encounter
79245 T476X3S 1 Poisoning by antidiarrheal drugs, assault, sequela           Poisoning by antidiarrheal drugs, assault, sequela
79246 T476X4  0 Poisoning by antidiarrheal drugs, undetermined               Poisoning by antidiarrheal drugs, undetermined
79247 T476X4A 1 Poisoning by antidiarrheal drugs, undetermined, init encntr  Poisoning by antidiarrheal drugs, undetermined, initial encounter
79248 T476X4D 1 Poisoning by antidiarrheal drugs, undetermined, subs encntr  Poisoning by antidiarrheal drugs, undetermined, subsequent encounter
79249 T476X4S 1 Poisoning by antidiarrheal drugs, undetermined, sequela      Poisoning by antidiarrheal drugs, undetermined, sequela
79250 T476X5  0 Adverse effect of antidiarrheal drugs                        Adverse effect of antidiarrheal drugs
79251 T476X5A 1 Adverse effect of antidiarrheal drugs, initial encounter     Adverse effect of antidiarrheal drugs, initial encounter
79252 T476X5D 1 Adverse effect of antidiarrheal drugs, subsequent encounter  Adverse effect of antidiarrheal drugs, subsequent encounter
79253 T476X5S 1 Adverse effect of antidiarrheal drugs, sequela               Adverse effect of antidiarrheal drugs, sequela
79254 T476X6  0 Underdosing of antidiarrheal drugs                           Underdosing of antidiarrheal drugs
79255 T476X6A 1 Underdosing of antidiarrheal drugs, initial encounter        Underdosing of antidiarrheal drugs, initial encounter
79256 T476X6D 1 Underdosing of antidiarrheal drugs, subsequent encounter     Underdosing of antidiarrheal drugs, subsequent encounter
79257 T476X6S 1 Underdosing of antidiarrheal drugs, sequela                  Underdosing of antidiarrheal drugs, sequela
79258 T477    0 Poisoning by, adverse effect of and underdosing of emetics   Poisoning by, adverse effect of and underdosing of emetics
79259 T477X   0 Poisoning by, adverse effect of and underdosing of emetics   Poisoning by, adverse effect of and underdosing of emetics
79260 T477X1  0 Poisoning by emetics, accidental (unintentional)             Poisoning by emetics, accidental (unintentional)
79261 T477X1A 1 Poisoning by emetics, accidental (unintentional), init       Poisoning by emetics, accidental (unintentional), initial encounter
79262 T477X1D 1 Poisoning by emetics, accidental (unintentional), subs       Poisoning by emetics, accidental (unintentional), subsequent encounter
79263 T477X1S 1 Poisoning by emetics, accidental (unintentional), sequela    Poisoning by emetics, accidental (unintentional), sequela
79264 T477X2  0 Poisoning by emetics, intentional self-harm                  Poisoning by emetics, intentional self-harm
79265 T477X2A 1 Poisoning by emetics, intentional self-harm, init encntr     Poisoning by emetics, intentional self-harm, initial encounter
79266 T477X2D 1 Poisoning by emetics, intentional self-harm, subs encntr     Poisoning by emetics, intentional self-harm, subsequent encounter
79267 T477X2S 1 Poisoning by emetics, intentional self-harm, sequela         Poisoning by emetics, intentional self-harm, sequela
79268 T477X3  0 Poisoning by emetics, assault                                Poisoning by emetics, assault
79269 T477X3A 1 Poisoning by emetics, assault, initial encounter             Poisoning by emetics, assault, initial encounter
79270 T477X3D 1 Poisoning by emetics, assault, subsequent encounter          Poisoning by emetics, assault, subsequent encounter
79271 T477X3S 1 Poisoning by emetics, assault, sequela                       Poisoning by emetics, assault, sequela
79272 T477X4  0 Poisoning by emetics, undetermined                           Poisoning by emetics, undetermined
79273 T477X4A 1 Poisoning by emetics, undetermined, initial encounter        Poisoning by emetics, undetermined, initial encounter
79274 T477X4D 1 Poisoning by emetics, undetermined, subsequent encounter     Poisoning by emetics, undetermined, subsequent encounter
79275 T477X4S 1 Poisoning by emetics, undetermined, sequela                  Poisoning by emetics, undetermined, sequela
79276 T477X5  0 Adverse effect of emetics                                    Adverse effect of emetics
79277 T477X5A 1 Adverse effect of emetics, initial encounter                 Adverse effect of emetics, initial encounter
79278 T477X5D 1 Adverse effect of emetics, subsequent encounter              Adverse effect of emetics, subsequent encounter
79279 T477X5S 1 Adverse effect of emetics, sequela                           Adverse effect of emetics, sequela
79280 T477X6  0 Underdosing of emetics                                       Underdosing of emetics
79281 T477X6A 1 Underdosing of emetics, initial encounter                    Underdosing of emetics, initial encounter
79282 T477X6D 1 Underdosing of emetics, subsequent encounter                 Underdosing of emetics, subsequent encounter
79283 T477X6S 1 Underdosing of emetics, sequela                              Underdosing of emetics, sequela
79284 T478    0 Agents primarily affecting gastrointestinal system           Poisoning by, adverse effect of and underdosing of other agents primarily affecting gastrointestinal system
79285 T478X   0 Agents primarily affecting gastrointestinal system           Poisoning by, adverse effect of and underdosing of other agents primarily affecting gastrointestinal system
79286 T478X1  0 Poisoning by oth agents aff GI sys, accidental               Poisoning by other agents primarily affecting gastrointestinal system, accidental (unintentional)
79287 T478X1A 1 Poisoning by oth agents aff GI sys, accidental, init         Poisoning by other agents primarily affecting gastrointestinal system, accidental (unintentional), initial encounter
79288 T478X1D 1 Poisoning by oth agents aff GI sys, accidental, subs         Poisoning by other agents primarily affecting gastrointestinal system, accidental (unintentional), subsequent encounter
79289 T478X1S 1 Poisoning by oth agents aff GI sys, accidental, sequela      Poisoning by other agents primarily affecting gastrointestinal system, accidental (unintentional), sequela
79290 T478X2  0 Poisoning by oth agents aff GI sys, self-harm                Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm
79291 T478X2A 1 Poisoning by oth agents aff GI sys, self-harm, init          Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter
